code,ticker,name,market,sector33_code,sector33,size_code,size
3626,3626.T,ＴＩＳＩ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
3635,3635.T,コーエーテクモホールディングス,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
3659,3659.T,ネクソン,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
3697,3697.T,ＳＨＩＦＴ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
3769,3769.T,ＧＭＯペイメントゲートウェイ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
3774,3774.T,インターネットイニシアティブ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
3861,3861.T,王子ホールディングス,プライム（内国株式）,3150,パルプ・紙,4,TOPIX Mid400
3923,3923.T,ラクス,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
3941,3941.T,レンゴー,プライム（内国株式）,3150,パルプ・紙,4,TOPIX Mid400
3994,3994.T,マネーフォワード,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
4004,4004.T,レゾナック・ホールディングス,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4005,4005.T,住友化学,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4021,4021.T,日産化学,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4042,4042.T,東ソー,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4043,4043.T,トクヤマ,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4045,4045.T,東亞合成,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4061,4061.T,デンカ,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4062,4062.T,イビデン,プライム（内国株式）,3650,電気機器,4,TOPIX Mid400
4063,4063.T,信越化学工業,プライム（内国株式）,3200,化学,1,TOPIX Core30
4091,4091.T,日本酸素ホールディングス,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4114,4114.T,日本触媒,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4118,4118.T,カネカ,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4151,4151.T,協和キリン,プライム（内国株式）,3250,医薬品,4,TOPIX Mid400
417A,417A.T,ブルーゾーンホールディングス,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
4182,4182.T,三菱瓦斯化学,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4183,4183.T,三井化学,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4186,4186.T,東京応化工業,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4188,4188.T,三菱ケミカルグループ,プライム（内国株式）,3200,化学,2,TOPIX Large70
4194,4194.T,ビジョナル,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
4202,4202.T,ダイセル,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4203,4203.T,住友ベークライト,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4204,4204.T,積水化学工業,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4205,4205.T,日本ゼオン,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4206,4206.T,アイカ工業,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4208,4208.T,ＵＢＥ,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4272,4272.T,日本化薬,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4307,4307.T,野村総合研究所,プライム（内国株式）,5250,情報・通信業,2,TOPIX Large70
4324,4324.T,電通グループ,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
4385,4385.T,メルカリ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
4401,4401.T,ＡＤＥＫＡ,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4403,4403.T,日油,プライム（内国株式）,3200,化学,4,TOPIX Mid400
4452,4452.T,花王,プライム（内国株式）,3200,化学,2,TOPIX Large70
4502,4502.T,武田薬品工業,プライム（内国株式）,3250,医薬品,1,TOPIX Core30
4503,4503.T,アステラス製薬,プライム（内国株式）,3250,医薬品,2,TOPIX Large70
